Common_name,Species,Status,BP_Rev,Häufig_keitsklasse,Trend_lang,Trend_kurz,Risik,BE2013,BE2003,BB2008,D2007,Letzter_Nachweis
Löffelente *,Anas clypeata,I ex,"0 – 1, 2012: 1 BP",ex,,,,0,1,2,3,2012
Moorente,Aythya nyroca,I ex,erloschen,ex,,,,0,0,1,1,< 1875
Gänsesäger,Mergus merganser,I ex,erloschen,ex,,,,0,0,2,2,1945
Rebhuhn *,Perdix perdix,I ex,"erloschen, zuletzt: 1996",ex,,,,0,1,2,2,1996
Birkhuhn,Tetrao terix,I ex,erloschen,ex,,,,0,0,1,2,
Schwarzstorch,Ciconia nigra,I ex,erloschen,ex,,,,0,0,3,,1900
Fischadler,Pandion haliaetus,I ex,erloschen,ex,,,,0,0,,3,1875
Schreiadler,Aquila pomarina,I ex,erloschen,ex,,,,0,0,1,1,1893
Kornweihe,Circus cyaneus,I ex,erloschen,ex,,,,0,0,0,2,< 1900
Wiesenweihe,Circus pygargus,I ex,erloschen,ex,,,,0,0,2,2,< 1900
Großtrappe,Otis tarda,I ex,erloschen,ex,,,,0,0,1,1,< 1925
Tüpfelralle,Porzana porzana,I ex,0 – 1 (2011: 1 Rev.),ex,,,,0,0,1,1,2011
Kleinralle *,Porzana parva,I ex,0 – 2 (2011: 2 Rev.),ex,,,,0,0,2,1,2011
Triel,Burhinus oedicnemus,I ex,erloschen,ex,,,,0,0,0,0,< 1945
Großer Brachvogel,Numenius arquata,I ex,erloschen,ex,,,,0,0,1,1,1878
Flussuferläufer,Actitis hypoleucos,I ex,erloschen,ex,,,,0,0,2,2,1972
Rotschenkel,Tringa totanus,I ex,erloschen,ex,,,,0,0,1,V,1878
Waldwasserläufer,Tringa ochropus,I ex,erloschen,ex,,,,0,0,,,1860
Kampfläufer,Philomachus pugnax,I ex,erloschen,ex,,,,0,0,1,1,< 1900
Zwergseeschwalbe,Sternula albifrons,I ex,erloschen,ex,,,,0,0,1,1,1878
Fluss-Seeschwalbe,Sterna hirundo,I ex,erloschen,ex,,,,0,0,3,2,1878
Turteltaube,Streptopelia turtur,I ex,erloschen,ex,,,,0,0,2,3,< 1945
Steinkauz,Athene noctua,I ex,erloschen,ex,,,,0,0,2,2,1969
Ziegenmelker,Caprimulgus europaeus,I ex,erloschen,ex,,,,0,0,3,3,1926
Blauracke,Coracias garrulus,I ex,erloschen,ex,,,,0,0,0,0,1955
Wiedehopf,Upupa epops,I ex,0 – 1,ex,,,,0,0,3,2,1993
Rotkopfwürger,Lanius senator,I ex,erloschen,ex,,,,0,0,0,1,1890
Schwarzstirnwürger,Lanius minor,I ex,erloschen,ex,,,,0,0,0,0,1921
Raubwürger *,Lanius excubitor,I ex,"erloschen, zuletzt 1995",ex,,,,0,1,,2,1995
Wacholderdrossel *,Turdus pilaris,I ex,"0 – 2, 2009: 2 Rev.",ex,,,,0,0,,,2009
Blaukehlchen,Luscinia svecica,I ex,0 – 1,ex,,,,0,0,3,V,1993
Ortolan,Emberiza hortulana,I ex,erloschen,ex,,,,0,0,V,3,1967
