Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GfU,Letzter_Nachweis,Quelle
"Donacia brevicornis AHRENS, 1810",0,ex,,,,,2,"1c, 2d, 3b, 11c,",vor 1907,REINECK (1907)
"Donacia dentata HOPPE, 1795",0,ex,,,,2,2,"1c, 11c, 14a, 14g",1937,CHRYFAUN
"Donacia obscura GYLLENHAL, 1813",0,ex,,,,2,1,"1c, 2d, 8b, 11c,",vor 1907,REINECK (1907)
"Donacia thalassina thalassina GERMAR, 1811",0,ex,,,,p,V,"1c, 2d, 11c, 14a,",vor 1950,MOHR (1985)
"Donacia tomentosa AHRENS, 1810",0,ex,,,,0,1,"1c, 2d, 11c, 14a,",1943,CHRYFAUN
"Macroplea appendiculata (PANZER, 1794)",0,ex,,,,,1,"1c, 3b, 11c, 14a",vor 1907,REINECK (1907)
"Lilioceris merdigera (LINNÉ, 1758)",0,ex,,,,,*,1a,vor 1913,REINECK (1913)
"Labidostomis humeralis (D. H. SCHNEIDER, 1792)",0,ex,,,,,2,"12b, 14a",1897,SCHILSKY (1897)
"Labidostomis tridentata (LINNÉ, 1758)",0,ex,,,,3,3,"9d, 14a",1949,coll. G. Lauterbach in FU
"Cryptocephalus bipunctatus (LINNÉ, 1758)",0,ex,,,,,*,"1a, 14a",vor 1950,MOHR (1977)
"Cryptocephalus chrysopus GMELIN, 1788",0,ex,,,,,3,"1a, 14a",vor 1950,coll. P. Delahon
"Cryptocephalus coryli (LINNÉ, 1758)",0,ex,,,,3,3,14a,1906,DELAHON (1927)
"Cryptocephalus decemmaculatus (LINNÉ, 1758)",0,ex,,,,,3,"2d, 8b, 14a",1948,CHRYFAUN
"Cryptocephalus hypochaeridis (LINNÉ, 1758)",0,ex,,,,,*,"8a, 14a",1946,CHRYFAUN
"Cryptocephalus janthinus GERMAR, 1824",0,ex,,,,0,1,"6a, 8c",2008,JE
"Cryptocephalus laetus FABRICIUS, 1792",0,ex,,,,0,0,"2a, 8a, 14a",vor 1900,WEISE (1872)
"Cryptocephalus octopunctatus (SCOPOLI, 1763)",0,ex,,,,2,2,"1a, 2d, 14a",vor 1950,"coll. J. Neresheimer, MOHR"
"Cryptocephalus pini (LINNÉ, 1758)",0,ex,,,,1,*,9d,vor 1950,MOHR (1977)
"Cryptocephalus quadripustulatus GYLLENHAL,",0,ex,,,,1,D,"9a, 4c",vor 1950,coll. G. Reineck in coll. SMF
"Cryptocephalus querceti SUFFRIAN, 1848",0,ex,,,,1,2,14a,1885,WEISE (1885)
"Pachybrachis hieroglyphicus (LAICHARTING, 1781)",0,ex,,,,0,3,"5b, 14a",1885,WEISE (1885)
"Oomorphus concolor (STURM, 1807)",0,ex,,,,0,*,14a,vor 1920,"coll. G. Kraatz (SDEI), Mohr"
"Chrysolina cerealis (LINNÉ, 1767)",0,ex,,,,0,3,"1a, 7a, 14a",vor 1950,MOHR (1977)
"Prasocuris glabra (HERBST, 1783)*",0,ex,,,,2,*,"1c, 2d, 6a, 14a",1960,CHRYFAUN
"Prasocuris hannoveriana (FABRICIUS, 1775)",0,ex,,,,3,3,"2d, 5b, 6a, 14a,",vor 1918,NERESHEIMER & WAGNER
"Galeruca melanocephala PONZA, 1805",0,ex,,,,,1,"2d, 5b, 14a",1928,CHRYFAUN
"Chaetocnema confusa (BOHEMANN, 1851)",0,ex,,,,,3,"2d, 8b,  14a",1907,REINECK (1907)
"Dibolia schillingi LETZNER, 1846",0,ex,,,,,3,"1a, 7a, 14a",1942,coll. M. Döberl
"Longitarsus nigerrimus (GYLLENHAL, 1827)*",0,ex,,,,,1,"2d, 8b, 11c, 14a,",1958,KORGE (1963)
"Bruchidius cisti (FABRICIUS, 1775)*",0,ex,,,,,3,"1a, 7a, 14g",vor 1950,WENDT (1986)
"Bruchus pisorum (LINNÉ, 1758)",0,ex,,,,,1,"4c, 14e",1949,"WENDT (1986), CHRYFAUN,"
"Bruchus rufimanus BOHEMANN, 1833",0,ex,,,,,*,?,vor 1950,WENDT (1986)
