Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GS,GfU,Common_name
"Aphodius conspurcatus (LINNÉ, 1758)*",0,ex,,,,2,2,,6,
"Aphodius foetidus (HERBST, 1783)*",0,ex,,,,,,,6,
"Aphodius lividus (A. G. OLIVIER, 1789)*",0,ex,,,,1,0,,6,
"Aphodius niger (ILLIGER, 1797)",0,ex,,,,1,3,,6,
"Aphodius obliteratus (STURM, 1823)*",0,ex,,,,1,3,,6,
"Aphodius paykulli BEDEL, 1908*",0,ex,,,,,,,6,
"Aphodius pictus STURM, 1805*",0,ex,,,,1,3,,6,
"Caccobius schreberi (LINNÉ, 1767)*",0,ex,,,,1,2,,6,
"Copris lunaris (LINNÉ, 1758)*",0,ex,,,,2,2,§,6,Mondhornkäfer
"Euheptaulacus sus (HERBST, 1783)*",0,ex,,,,,2,,"7a, 8a",
"Euheptaulacus villosus (GYLLENHAL, 1806)*",0,ex,,,,,2,,"7a, 8a",
"Gnorimus nobilis (LINNÉ, 1758)*",0,ex,,,,4,3,,"2a, 14a",Edelscharrkäfer
"Heptaulacus testudinarius (FABRICIUS, 1775)*",0,ex,,,,1,2,,"7a, 8a",
"Ochodaeus chrysomeloides (SCHRANK, 1781)*",0,ex,,,,1,1,,"7a, 8a",
"Onthophagus illyricus (SCOPOLI, 1763)*",0,ex,,,,,3,,,
"Onthophagus taurus (SCHREBER, 1759)*",0,ex,,,,1,3,,6,
"Protaetia fieberi (KRAATZ, 1880)*",0,ex,,,,1,2,§,"2a, 14a",
"Rhysothorax rufus (FABRICIUS, 1792)*",0,ex,,,,,,,"5a, 5b",
"Tropinota hirta (PODA vON NEUHAUS, 1761)",0,ex,,,,3,3,,?,Zottiger Rosenkäfer
"Trox cadaverinus ILLIGER, 1802*",0,ex,,,,2,2,,"6d, 7a, 8a",
"Trox hispidus (PONTOPPIDAN, 1763)*",0,ex,,,,3,,,"6d, 7a, 8a",
"Trox sabulosus (LINNÉ, 1758)*",0,ex,,,,,,,"6d, 7a, 8a",
