Species,BE,Bestand,Trend_lang,Trend_kurz,RF,BB,D,GS,Neobiota,Letzter_Nachweis
"Lichenophanes varius (ILLIGER, 1801)",0,ex,,,,,2,,,vor 1900
"Endecatomus reticulatus (HERBST, 1793)",0,ex,,,,,0,,,vor 1900
"Anobium emarginatum DUFTSCHMID, 1825",0,ex,,,,,3,,,vor 1900
"Ernobius mulsanti KIESENWETTER, 1877",0,ex,,,,,0,,,vor 1900
"Xyletinus pectinatus (FABRICIUS, 1792)",0,ex,,,,,,,,vor 1900
"Dermestoides sanguinicollis (FABRICIUS, 1787)",0,ex,,,,,1,,,vor 1900
"Korynetes ruficornis STURM, 1837",0,ex,,,,,,,,vor 1900
"Opilo domesticus (STURM, 1837)",0,ex,,,,,2,,,vor 1900
"Trichodes apiarius (LINNÉ, 1758)",0,ex,,,,,,,,vor 1900
"Trichoceble floralis (OLIVIER, 1790)",0,ex,,,,,3,,,vor 1900
"Phloiophilus edwardsii STEPHENS, 1830",0,ex,,,,,2,,,vor 1900
"Temnoscheila caerulea OLIVIER, 1790",0,ex,,,,,,,,vor 1900
"Atomaria badia ERICHSON, 1846",0,ex,,,,,2,,,vor 1900
"Atomaria munda ERICHSON, 1846",0,ex,,,,,,,,vor 1900
"Atomaria peltata KRAATZ, 1853",0,ex,,,,,,,,vor 1900
"Atomaria procerula ERICHSON, 1846",0,ex,,,,,3,,,vor 1900
"Atomaria pulchra ERICHSON, 1846",0,ex,,,,,,,,vor 1900
"Cryptophagus subfumatus KRAATZ, 1856",0,ex,,,,,,,,vor 1900
"Pediacus dermestoides (FABRICIUS, 1792)",0,ex,,,,,1,,,vor 1900
"Triplax lepida (FALDERMANN, 1835)*",0,ex,,,,,,,,vor 1900
"Triplax scutellaris CARPENTIER, 1825",0,ex,,,,,2,,,vor 1900
"Cryptolestes weisei (REITTER, 1879)",0,ex,,,,,,,,vor 1900
"Notolaemus unifasciatus (PAYKULL, 1801)",0,ex,,,,,2,,,vor 1900
"Monotoma quadrifoveolata AUBÉ, 1837",0,ex,,,,,,,,vor 1900
"Nitidula rufipes (LINNÉ, 1767)",0,ex,,,,,,,,vor 1900
"Ampedus praeustus (FABRICIUS, 1792)",0,ex,,,,,2,,,vor 1900
"Ampedus rufipennis (STEPHENS, 1830)",0,ex,,,,,2,,,vor 1900
"Megapenthes lugens (REDTENBACHER, 1842)",0,ex,,,,,1,,,vor 1900
"Melanotus crassicollis (ERICHSON, 1841)",0,ex,,,,,,,,vor 1900
"Trixagus obtusus (CURTIS, 1827)*",0,ex,,,,,,,,vor 1900
"Aglenus brunneus (GYLLENHAL, 1813)",0,ex,,,,,,,,vor 1900
"Osphya bipunctata (FABRICIUS, 1775)",0,ex,,,,,2,,,vor 1900
"Xylita laevigata (HELLENIUS, 1786)",0,ex,,,,,2,,,vor 1900
"Anogcodes ferruginea (SCHRANK, 1776)",0,ex,,,,,3,,,vor 1900
"Salpingus aeneus (OLIVIER, 1790)",0,ex,,,,,1,,,vor 1900
"Corticeus suberis LUCAS, 1846",0,ex,,,,,,,,vor 1900
"Menephilus cylindricus (HERBST, 1784)",0,ex,,,,,0,,,vor 1900
"Mycetochara flavipes (FABRICIUS, 1792)",0,ex,,,,,2,,,vor 1900
"Mycetochara pygmaea (REDTENBACHER, 1874)",0,ex,,,,,,,,vor 1900
"Omophlus betulae (HERBST, 1783)",0,ex,,,,,2,,,vor 1900
