Species,BE,BB,DE,GS,Häufigkeit,Vorzugshabitate,Gefährdungsursachen
Acupalpus maculatus (SCHAUM)*,0,2,3,,ex,(1)?,"1c, 12a"
Agonum gracilipes (DUFTSCHMID)*,0,1,D,,ex,(7),?
Agonum hypocrita (APFELBECK)*,0,1,1,,ex,2,"2d, 11c"
Agonum impressum (PANZER)*,0,1,1,,ex,1,"3a, 5a, 12c"
Amara famelica ZIMMERMANN*,0,R,2,,ex,(14)?,?
Anisodactylus nemorivagus (DUFTSCHMID)*,0,0,2,,ex,"(10,14)?",?
Bembidion humerale STURM*,0,1,2,,ex,2,"2d, 11c"
Bembidion punctulatum DRAPIEZ*,0,1,V,,ex,1,"3a, 5a, 12c"
Bembidion semipunctatum (DONOVAN)*,0,2,-,,ex,1,"3a, 5a, 12c"
Bembidion striatum (FABRICIUS)*,0,0,1,,ex,1,"3a, 5a, 12c"
Bembidion velox (LINNAEUS)*,0,R,2,,ex,1,"3a, 5a, 12c"
Callisthenes reticulatus (FABRICIUS)*,0,1,1,§§,ex,10,"7d, 8e"
Calosoma sycophanta (LINNAEUS)*,0,1,2,§,ex,7,9a
Carabus cancellatus ILLIGER*,0,2,V,§,ex,"(7,14)?",?
Carabus clatratus LINNAEUS*,0,2,2,§,ex,4,"1a, 5a, 6a"
Carabus glabratus PAYKULL*,0,2,-,§,ex,7,"2d, 9a, 12b"
Carabus intricatus LINNAEUS*,0,R,3,§,ex,8,?
Carabus nitens LINNAEUS*,0,1,2,§,ex,"(8,10)?",7d?
Carabus problematicus HERBST*,0,R,-,§,ex,8,?
Chlaenius costulatus (MOTSCHULSKY)*,0,0,1,,ex,3,"1a, 2d, 5b"
Chlaenius nitidulus (SCHRANK)*,0,R,3,,ex,(1),"1c, 12a"
Chlaenius sulcicollis (PAYKULL)*,0,0,0,,ex,3,"3a, 5a, 5b"
Cylindera arenaria viennensis (SCHRANK)*,0,1,1,§§,ex,1,"1c, 3a, 12a"
Dolichus halensis (SCHALLER)*,0,R,2,,ex,13,12a
Dyschirius chalceus ERICHSON*,0,0,1,,ex,(1),"1c, 12a"
Dyschirius neresheimeri WAGNER*,0,1,1,,ex,1,"3a, 12c"
Dyschirius nitidus (DEJEAN)*,0,0,2,,ex,1,"1c, 3a"
Dyschirius obscurus (GYLLENHAL)*,0,1,-,,ex,1,"1c, 3a"
Elaphropus parvulus (DEJEAN)*,0,R,-,,ex,12,"1a, 12a"
Limodromus longiventris (MANNERHEIM)*,0,2,2,,ex,4,"1a, 5a, 6a"
Paratachys micros (FISCHER VON WALDHEIM)*,0,0,2,,ex,(1)?,"1c, 12a"
Pterostichus ovoideus (STURM)*,0,R,-,,ex,(13)?,?
Pterostichus taksonyis CSIKI*,0,0,0,,ex,4,"1a, 5a, 6a"
Sphodrus leucophthalmus (LINNAEUS)*,0,0,1,,ex,15,2c
