scientificName,BE,Letzter_Nachweis
Chetabraeus globulus,0,vor 1839
Hypocacculus rufipes,0,vor 1860
Platysoma angustum,0,vor 1950
Platysoma deplanatum,0,1914
Plegaderus discisus,0,vor 1839
Saprinus politus,0,vor 1851
Anemadus strigosus,0,vor 1946
Nargus anisotomoides,0,vor 1950
Colon affine,0,vor 1909
Colon armipes,0,vor 1854
Colon calcaratum,0,vor 1837
Colon clavigerum,0,vor 1884
Colon puncticolle,0,vor 1850
Colon rufescens,0,vor 1850
Agyrtes castaneus,0,vor 1856
Agathidium nigrinum,0,vor 1866
Leiodes brunnea,0,vor 1909
Leiodes flavescens,0,vor 1845
Leiodes furva,0,vor 1845
Leiodes hybrida,0,vor 1845
Leiodes litura,0,vor 1909
Leiodes nigrita,0,vor 1909
Leiodes picea,0,vor 1909
Leiodes rubiginosa,0,vor 1845
Zeadolopus latipes,0,vor 1845
Cephennium gallicum,0,1994
Euconnus rutilipennis,0,vor 2005
Micropeplus caelatus,0,1914
Micropeplus porcatus,0,1922
Bryaxis clavicornis,0,vor 1950
Pselaphaulax dresdensis,0,1970
Lordithon pulchellus,0,vor 1950
Mycetoporus reichei,0,vor 1900
Tachinus bipustulatus,0,1921
Tachinus scapularis,0,1958
Tachyporus tersus,0,1967
Aleochara fumata,0,KORGE (2005)
Aleochara funebris,0,KORGE (2005)
Aleochara moerens,0,KORGE (2005)
Aleochara moesta,0,KORGE (2005)
Aleochara signata,0,KORGE (2005)
Alevonota gracilienta,0,KORGE (2005)
Amarochara bonnairei,0,KORGE (2005)
Atheta arctica,0,KORGE (2005)
Atheta balcanicola,0,1977
Atheta boreella,0,1967
Atheta clientula,0,KORGE (2005)
Atheta ganglbaueri,0,1946
Atheta hygrobia,0,KORGE (2005)
Atheta liliputana,0,1968
Atheta myrmecobia,0,KORGE (2005)
Atheta nigripes,0,KORGE (2005)
Atheta pervagata,0,KORGE (2005)
Atheta sequanica,0,KORGE (2005)
Atheta sodermani,0,KORGE (2005)
Atheta strandiella,0,KORGE (2005)
Atheta subsinuata,0,KORGE (2005)
Calodera rubens,0,vor 1950
Cypha pulicaria,0,KORGE (2005)
Cypha seminulum,0,KORGE (2005)
Cyphaea curtula,0,KORGE (2005)
Dacrila fallax,0,KORGE (2005)
Dasygnypeta velata,0,KORGE (2005)
Deinopsis erosa,0,KORGE (2005)
Dinarda dentata,0,KORGE (2005)
Dochmonota rudiventris,0,KORGE (2005)
Encephalus complicans,0,KORGE (2005)
Euryusa coarctata,0,KORGE (2005)
Falagrioma thoracica,0,KORGE (2005)
Gnypeta carbonaria,0,KORGE (2005)
Gnypeta ripicola,0,KORGE (2005)
Gymnusa brevicollis,0,KORGE (2005)
Hygropora cunctans,0,KORGE (2005)
Notothecta confusa,0,vor 1950
Oxypoda induta,0,KORGE (2005)
Oxypoda lentula,0,KORGE (2005)
Oxypoda nigrocincta,0,KORGE (2005)
Tachyusa scitula,0,KORGE (2005)
Tetralaucopora rubicunda,0,KORGE (2005)
Tomoglossa luteicornis,0,KORGE (2005)
Zoosetha inconspicua,0,KORGE (2005)
Anotylus pumilus,0,vor 1950
Aploderus caesus,0,KORGE (2005)
Bledius baudii,0,KORGE (2005)
Bledius denticollis,0,KORGE (2005)
Bledius fergussoni,0,vor 1837
Bledius pygmaeus,0,KORGE (2005)
Bledius tibialis,0,vor 1950
Coprophilus striatulus,0,KORGE (2005)
Deleaster dichrous,0,KORGE (2005)
Manda mandibularis,0,KORGE (2005)
Syntomium aeneum,0,KORGE (2005)
Thinobius brevipennis,0,vor 1950
Thinobius flagellatus,0,vor 1950
Thinobius pusillimus,0,vor 1950
Stenus bohemicus,0,vor 1950
Stenus palposus,0,vor 1950
Stenus pumilio,0,vor 1950
Stenus sylvester,0,vor 1950
Medon apicalis,0,1884
Paederus limnophilus,0,vor 1950
Rugilus angustatus,0,vor 1950
Rugilus geniculatus,0,vor 1950
Scopaeus minimus,0,vor 1950
Tetartopeus sphagnetorum,0,vor 1950
Bisnius scribae,0,vor 1950
Dinothenarus fossor,0,vor 1950
Dinothenarus pubescens,0,vor 1950
Ocypus aeneocephalus,0,vor 1950
Philonthus ebeninus,0,vor 1950
Philonthus nitidus,0,KORGE (2005)
Philonthus rufipes,0,vor 1950
Quedius fulgidus,0,KORGE (2005)
Rabigus pullus,0,vor 1950
Staphylinus caesareus,0,KORGE (2005)
Tasgius pedator,0,KORGE (2005)
