Common_name,Species,Status,BP_Rev,Häufig_keitsklasse,Trend_lang,Trend_kurz,Risik,BE2013,BE2003,BB2008,D2007
Löffelente *,Anas clypeata,I ex,"0 – 1, 2012: 1 BP",ex,,,,0,1,2,3
Moorente,Aythya nyroca,I ex,erloschen,ex,,,,0,0,1,1
Gänsesäger,Mergus merganser,I ex,erloschen,ex,,,,0,0,2,2
Rebhuhn *,Perdix perdix,I ex,"erloschen, zuletzt: 1996",ex,,,,0,1,2,2
Birkhuhn,Tetrao terix,I ex,erloschen,ex,,,,0,0,1,2
Schwarzstorch,Ciconia nigra,I ex,erloschen,ex,,,,0,0,3,
Fischadler,Pandion haliaetus,I ex,erloschen,ex,,,,0,0,,3
Schreiadler,Aquila pomarina,I ex,erloschen,ex,,,,0,0,1,1
Kornweihe,Circus cyaneus,I ex,erloschen,ex,,,,0,0,0,2
Wiesenweihe,Circus pygargus,I ex,erloschen,ex,,,,0,0,2,2
Großtrappe,Otis tarda,I ex,erloschen,ex,,,,0,0,1,1
Tüpfelralle,Porzana porzana,I ex,0 – 1 (2011: 1 Rev.),ex,,,,0,0,1,1
Kleinralle *,Porzana parva,I ex,0 – 2 (2011: 2 Rev.),ex,,,,0,0,2,1
Triel,Burhinus oedicnemus,I ex,erloschen,ex,,,,0,0,0,0
Großer Brachvogel,Numenius arquata,I ex,erloschen,ex,,,,0,0,1,1
Flussuferläufer,Actitis hypoleucos,I ex,erloschen,ex,,,,0,0,2,2
Rotschenkel,Tringa totanus,I ex,erloschen,ex,,,,0,0,1,V
Waldwasserläufer,Tringa ochropus,I ex,erloschen,ex,,,,0,0,,
Kampfläufer,Philomachus pugnax,I ex,erloschen,ex,,,,0,0,1,1
Zwergseeschwalbe,Sternula albifrons,I ex,erloschen,ex,,,,0,0,1,1
Fluss-Seeschwalbe,Sterna hirundo,I ex,erloschen,ex,,,,0,0,3,2
Turteltaube,Streptopelia turtur,I ex,erloschen,ex,,,,0,0,2,3
Steinkauz,Athene noctua,I ex,erloschen,ex,,,,0,0,2,2
Ziegenmelker,Caprimulgus europaeus,I ex,erloschen,ex,,,,0,0,3,3
Blauracke,Coracias garrulus,I ex,erloschen,ex,,,,0,0,0,0
Wiedehopf,Upupa epops,I ex,0 – 1,ex,,,,0,0,3,2
Rotkopfwürger,Lanius senator,I ex,erloschen,ex,,,,0,0,0,1
Schwarzstirnwürger,Lanius minor,I ex,erloschen,ex,,,,0,0,0,0
Raubwürger *,Lanius excubitor,I ex,"erloschen, zuletzt 1995",ex,,,,0,1,,2
Wacholderdrossel *,Turdus pilaris,I ex,"0 – 2, 2009: 2 Rev.",ex,,,,0,0,,
Blaukehlchen,Luscinia svecica,I ex,0 – 1,ex,,,,0,0,3,V
Ortolan,Emberiza hortulana,I ex,erloschen,ex,,,,0,0,V,3
